Ictidomys tridecemlineatus
Mus musculus
Rattus norvegicus
Cavia porcellus
Monodelphis domestica
Sorex araneus
Ornithorhynchus anatinus
Callithrix jacchus	
Macaca mulatta	
Pan troglodytes
Pongo abelii
Homo sapiens
Felis catus
Equus caballus
Bos taurus
Oryctolagus cuniculus
Bison bison
Tupaia chinensis
Capra hircus
Ovis aries
Sus scrofa
Ailuropoda melanoleuca
Panthera tigris
Erinaceus europaeus
Loxodonta africana 
Chinchilla lanigera
